100 312
Campochiesa Malosco 289.2
Cupramontana Monleale 835.94
Brienno Lovere 130.96
Parzanica Pignola 1132.22
ManerbaDelGarda Parzanica 57.46
Pancalieri PozzuoloDelFriuli 398.06
PozzuoloDelFriuli Roè 440.19
Monleale SantaTeresaGallura 391.02
Lovere Venice 143.86
Casalfiumanese Sairano 340.71
QuarnaSopra SanLorenzoInCampo 811.27
Arcene Frontino 545.77
Barghe SantaTeresaGallura 704.76
Moresco VadoCentro 1172.33
Saliceto SantaTeresaGallura 309.43
Tursi Venice 795.55
Florinas Venice 598.55
PozzuoloDelFriuli SantaMariaAVico 654.69
Montecosaro Villandro 743.61
OrcianoPisano Roccaverano 145.78
Ca'Rainati Malosco 90.61
Frontino GenzanoDiRoma 259.03
Caldes CasaleMonferrato 548.14
Ca'Rainati Paganica-Tempera 622.36
CasaleMonferrato VillarSanCostanzo 261.88
CantalupoNelSannio Paganica-Tempera 128.47
Brusnengo PozzuoloDelFriuli 551.97
Colbordolo Fabrizio 645.62
Buonabitacolo Cupramontana 290.58
Ciampino Porcellengo 233.75
Roccavignale Roè 437.1
Cartura Nomi 198.38
Pancalieri Rigolato 1125.18
Lozza Preone 260.29
Caldes Frontino 628.16
AciCatena PalùDelFersina 1824.45
AurisinaCave SanGiovanniInCroce 576.35
Paganica-Tempera Villandro 631.88
Barghe Preone 435.95
Ciampino Monreale 345.16
CastelCondino GenzanoDiRoma 847.59
RossanoVeneto VillarSanCostanzo 773.17
Ardesio Borgarello 75.0
CivitellaDiRomagna GualdoTadino 81.02
Parzanica VadoCentro 420.18
Castelverde Porcellengo 369.74
Fabrizio Porcellengo 1215.49
Ivrea Montecosaro 383.01
Gualtieri Pie'DelSasso 313.51
Pignola QuarnaSopra 1491.03
Frontino QuarnaSopra 368.55
Monreale PalùDelFersina 608.82
Nomi Paganica-Tempera 752.29
Ameno RossanoVeneto 300.47
Picinisco Sairano 383.8
MazzoDiValtellina Roccavignale 275.15
Buonabitacolo SanGiovanniInCroce 508.58
MarcianoDellaChiana Porcellengo 241.59
AurisinaCave Martignacco 36.63
Brusnengo Rigolato 856.92
RiesePioX VillarSanCostanzo 884.12
Alagna Sant'Onofrio 1830.12
Roè SanLorenzoInCampo 520.99
Lovere SanGiovanniInCroce 94.14
Brusnengo SanGiovanniInCroce 219.77
BaratiliSanPietro Villandro 1585.17
AnguillaraSabazia Pancalieri 730.51
CastelCondino SavignanoSulRubicone 525.36
MirabellaImbaccari Sairano 1194.67
BaratiliSanPietro Cupramontana 1228.26
IsolaDelleFemmine SavignanoSulRubicone 756.83
Roccavignale Sant'Onofrio 2007.78
Moresco Pie'DelSasso 146.88
Barghe CantalupoNelSannio 554.84
GenzanoDiRoma Ligosullo 716.7
CantalupoNelSannio GranaMonferrato 630.49
Pie'DelSasso Sant'Onofrio 733.14
Campochiesa Villandro 480.58
AlbanoDiLucania Alfano 59.54
Berra Florinas 767.7
FaraSanMartino Picinisco 89.71
ManerbaDelGarda Pancalieri 289.73
Cartura Gualtieri 194.8
IsolaDelleFemmine Nomi 465.03
Arcene Saliceto 128.98
Alfano ManerbaDelGarda 886.58
Pie'DelSasso SantaMariaCapuaVetere 137.64
Moresco RiesePioX 386.31
Roccaverano VillarSanCostanzo 195.8
Ligosullo MarcianoDellaChiana 415.59
Lovere Piagge 753.01
Frontino Sairano 304.11
Berra Malosco 249.48
Ameno Sant'Onofrio 1452.36
SanGiovanniInCroce Trovo 123.79
Nomi SanLorenzoInCampo 496.0
Cupramontana Paganica-Tempera 67.33
Ca'Rainati Fabrizio 1409.36
Cartura Venice 108.61
Brienno Clauzetto 281.09
Colbordolo Picinisco 306.29
Alagna OrcianoPisano 504.82
Brienno FaraSanMartino 1192.05
Casacalenda GenzanoDiRoma 220.16
Fénis Lozza 292.44
Borgarello Venice 487.26
Florinas Lozza 337.77
CivitellaDiRomagna Preone 211.24
FaraSanMartino Monreale 664.68
Borgarello GranaMonferrato 177.39
BellinzagoLombardo Parzanica 111.14
Castelverde Moresco 441.73
AciCatena Nomi 1057.59
Casacalenda RiesePioX 1002.28
AciCatena OspitaleDiCadore 759.86
AciCatena Tursi 200.79
Gualtieri Malosco 219.88
Ardesio Brusnengo 330.37
Casalfiumanese Piagge 303.17
Alagna SanMarcoLaCatola 822.64
Campochiesa Martignacco 742.19
Proves-Proveis SantaMariaAVico 1083.78
CivitellaDiRomagna SantaMariaAVico 266.73
Montecosaro SantaTeresaGallura 688.4
Alfano Venice 968.59
Colbordolo SantaTeresaGallura 866.44
SanPolo Trovo 122.34
Castelverde GranaMonferrato 254.1
Ivrea Roè 163.31
Berra Lozza 303.26
Caldes SanPolo 361.12
Rigolato VillarSanCostanzo 874.57
BellinzagoLombardo Roccaverano 173.64
Borgarello Villandro 362.41
Lozza Monleale 126.12
Ameno Ivrea 119.12
Florinas Villandro 904.51
Barghe Roè 20.31
MazzoDiValtellina Proves-Proveis 111.19
Barghe SanGiovanniInCroce 98.62
CivitellaDiRomagna Sant'Onofrio 1179.03
GranaMonferrato Ligosullo 1057.53
Malosco SanPolo 280.98
Pancalieri Roccavignale 110.8
BaratiliSanPietro Clauzetto 1070.98
AlbanoDiLucania Casalfiumanese 1209.94
MirabellaImbaccari Preone 1248.02
Cupramontana Savelli 562.71
AnguillaraSabazia SanPolo 819.66
Casalfiumanese PozzuoloDelFriuli 239.99
SantaMariaAVico Venice 573.13
RiesePioX Tursi 718.34
Lovere Pancalieri 199.78
Sairano SantaMariaAVico 1076.34
Alagna Moresco 760.92
Barghe Martignacco 282.55
Cornuda Pignola 552.74
Cornuda GualdoTadino 239.27
Brienno Sairano 65.83
Fénis RossanoVeneto 296.53
BaratiliSanPietro Fabrizio 1373.37
FaraSanMartino Lozza 1388.56
Martignacco Villandro 286.6
Fénis SanGiovanniInCroce 248.85
Cupramontana Villandro 504.83
Pancalieri Pie'DelSasso 874.0
Casacalenda Sairano 1370.43
Saliceto Sant'Onofrio 1935.14
Moresco Venice 219.5
SantaTeresaGallura Villandro 391.64
RiesePioX Rigolato 193.24
GranaMonferrato SanPolo 137.21
GranaMonferrato OspitaleDiCadore 605.12
Escolca Preone 1040.93
Guarcino Paganica-Tempera 112.03
Monleale Savelli 891.06
Berra Ivrea 721.42
Ameno CivitellaDiRomagna 387.3
Saliceto SanLorenzoInCampo 421.46
CastelCondino SantuLussurgiu 581.62
Fénis Roccavignale 319.82
Ardesio Ligosullo 424.82
Castelverde RossanoVeneto 181.58
SanPolo Villandro 319.59
AlbanoDiLucania VadoCentro 1033.11
Ciampino Parzanica 352.44
PozzuoloDelFriuli SanMarcoLaCatola 700.07
QuarnaSopra Trovo 126.88
Caldes GualdoTadino 733.77
AurisinaCave BaratiliSanPietro 1463.91
Alagna AnguillaraSabazia 537.87
Casacalenda Castelverde 967.33
Montecosaro Venice 449.99
Rigolato Venice 265.13
Rigolato SanLorenzoInCampo 540.87
BaratiliSanPietro Escolca 88.19
Martignacco Roè 417.1
Lovere Pie'DelSasso 680.31
SanPolo VadoCentro 316.49
Guarcino Roccavignale 1065.16
Arcene Villandro 324.83
CastelCondino Preone 366.2
Arcene Cupramontana 239.03
Colbordolo Venice 298.58
PalùDelFersina Tursi 1136.45
Escolca Martignacco 472.2
Ivrea SavignanoSulRubicone 631.7
MarcianoDellaChiana Monleale 533.03
Malosco SanLorenzoInCampo 378.98
Caldes Cartura 105.66
Montecosaro Porcellengo 404.93
Berra Parzanica 346.01
Arcene VadoCentro 310.08
CantalupoNelSannio OspitaleDiCadore 897.47
Fénis Roccaverano 188.02
Cartura IsolaDelleFemmine 543.63
Florinas Roccaverano 228.56
AnguillaraSabazia SanLorenzoInCampo 258.34
CantalupoNelSannio SanMarcoLaCatola 78.4
Ciampino Ligosullo 277.14
Pancalieri Tursi 886.58
AciCatena VadoCentro 1560.41
BellinzagoLombardo Moresco 362.2
CivitellaDiRomagna Roccavignale 238.11
Gualtieri Roè 71.92
GranaMonferrato Gualtieri 387.67
Monleale VillarSanCostanzo 329.99
GranaMonferrato Moresco 1043.97
AurisinaCave OspitaleDiCadore 215.45
Campochiesa CivitellaDiRomagna 667.23
AnguillaraSabazia Casalfiumanese 135.79
Brienno Cupramontana 538.16
Barghe Frontino 196.46
Ameno Fabrizio 1204.26
ManerbaDelGarda SanLorenzoInCampo 387.21
Alagna CastelCondino 135.61
Ardesio Monleale 154.8
Gualtieri SantaMariaAVico 1151.76
Guarcino Lovere 864.93
Lozza ManerbaDelGarda 104.98
Alfano Lovere 832.93
AurisinaCave ManerbaDelGarda 210.71
GualdoTadino SanPolo 746.38
Borgarello Fabrizio 1733.39
Ameno SanPolo 96.5
GualdoTadino VillarSanCostanzo 695.12
BellinzagoLombardo MazzoDiValtellina 92.05
Alfano MazzoDiValtellina 1080.81
Montecosaro Proves-Proveis 683.33
Fénis SavignanoSulRubicone 720.35
MarcianoDellaChiana SantaMariaCapuaVetere 682.53
Casalfiumanese MazzoDiValtellina 344.04
AlbanoDiLucania Savelli 158.3
